date,revenue
2021-09-03,63803
2021-09-04,64900
2021-09-05,66280
2021-09-06,65244
2021-09-07,62441
2021-09-08,55527
2021-09-09,57492
2021-09-10,59653
2021-09-11,59155
2021-09-12,62476
2021-09-13,59887
2021-09-14,61391
2021-09-15,63065
2021-09-16,68817
2021-09-17,67161
2021-09-18,69455
2021-09-19,66231
2021-09-20,59657
2021-09-21,62134
2021-09-22,58522
2021-09-23,62310
2021-09-24,56336
2021-09-25,58573
2021-09-26,60981
2021-09-27,62204
2021-09-28,58756
2021-09-29,59500
2021-09-30,60791
2021-10-01,66175
2021-10-02,67351
2021-10-03,69516
2021-10-04,67724
2021-10-05,70472
2021-10-06,69935
2021-10-07,74156
2021-10-08,75887
2021-10-09,76103
2021-10-10,74847
2021-10-11,73146
2021-10-12,72757
2021-10-13,70330
2021-10-14,73454
2021-10-15,78811
2021-10-16,82988
2021-10-17,74868
2021-10-18,66548
2021-10-19,78912
2021-10-20,81205
2021-10-21,88294
2021-10-22,86923
2021-10-23,85074
2021-10-24,85291
2021-10-25,87126
2021-10-26,88934
2021-10-27,84660
2021-10-28,83388
2021-10-29,90143
2021-10-30,91286
2021-10-31,89052
2021-11-01,93065
2021-11-02,95360
2021-11-03,98739
2021-11-04,97600
2021-11-05,97894
2021-11-06,94566
2021-11-07,100364
2021-11-08,103066
2021-11-09,103965
2021-11-10,102754
2021-11-11,102066
2021-11-12,100538
2021-11-13,99680
2021-11-14,99906
2021-11-15,102141
2021-11-16,93239
2021-11-17,91647
2021-11-18,92386
2021-11-19,92586
2021-11-20,96413
2021-11-21,95970
2021-11-22,92650
2021-11-23,91763
2021-11-24,95484
2021-11-25,98826
2021-11-26,90321
2021-11-27,92095
2021-11-28,91791
2021-11-29,96618
2021-11-30,105070
2021-12-01,105993
2021-12-02,101978
2021-12-03,103223
2021-12-04,87890
2021-12-05,95483
2021-12-06,92593
2021-12-07,99604
2021-12-08,97116
2021-12-09,100097
2021-12-10,95904
2021-12-11,93110
2021-12-12,93244
2021-12-13,92306
2021-12-14,89104
2021-12-15,89783
2021-12-16,95009
2021-12-17,89270
2021-12-18,92111
2021-12-19,92194
2021-12-20,88277
2021-12-21,95360
2021-12-22,94291
2021-12-23,92670
2021-12-24,95311
2021-12-25,96458
2021-12-26,95960
2021-12-27,96509
2021-12-28,93153
2021-12-29,88793
2021-12-30,89206
2021-12-31,90496
2022-01-01,88433
2022-01-02,89799
2022-01-03,91861
2022-01-04,91848
2022-01-05,90402
2022-01-06,80319
2022-01-07,78308
2022-01-08,77450
2022-01-09,75554
2022-01-10,75005
2022-01-11,74366
2022-01-12,79832
2022-01-13,81489
2022-01-14,78910
2022-01-15,81287
2022-01-16,81036
2022-01-17,78810
2022-01-18,77058
2022-01-19,76154
2022-01-20,77186
2022-01-21,68439
2022-01-22,60272
2022-01-23,61401
2022-01-24,54759
2022-01-25,60922
2022-01-26,64469
2022-01-27,62212
2022-01-28,60474
2022-01-29,64477
2022-01-30,66777
2022-01-31,65030
2022-02-01,70780
2022-02-02,70731
2022-02-03,66378
2022-02-04,72525
2022-02-05,77267
2022-02-06,77301
2022-02-07,77902
2022-02-08,79413
2022-02-09,81594
2022-02-10,84260
2022-02-11,80655
2022-02-12,76402
2022-02-13,76833
2022-02-14,75430
2022-02-15,81584
2022-02-16,82744
2022-02-17,82274
2022-02-18,77058
2022-02-19,72357
2022-02-20,71126
2022-02-21,70196
2022-02-22,69891
2022-02-23,73002
2022-02-24,63887
2022-02-25,72788
2022-02-26,75596
2022-02-27,77533
2022-02-28,73196
2022-03-01,81295
2022-03-02,82916
2022-03-03,81871
2022-03-04,76232
2022-03-05,76074
2022-03-06,74426
2022-03-07,73729
2022-03-08,74729
2022-03-09,79943
2022-03-10,76723
2022-03-11,77936
2022-03-12,76736
2022-03-13,77388
2022-03-14,78116
2022-03-15,77565
2022-03-16,81311
2022-03-17,87211
2022-03-18,86781
2022-03-19,92127
2022-03-20,91590
2022-03-21,94335
2022-03-22,98887
2022-03-23,96895
2022-03-24,101998
2022-03-25,106188
2022-03-26,105273
2022-03-27,107664
2022-03-28,115976
2022-03-29,119942
2022-03-30,119397
2022-03-31,120923
2022-04-01,118351
2022-04-02,127096
2022-04-03,127410
2022-04-04,128242
2022-04-05,130856
2022-04-06,123824
2022-04-07,120813
2022-04-08,122032
2022-04-09,121981
2022-04-10,123694
2022-04-11,116766
2022-04-12,118069
2022-04-13,117470
2022-04-14,120053
2022-04-15,118759
2022-04-16,120746
2022-04-17,121022
2022-04-18,117183
2022-04-19,122038
2022-04-20,128021
2022-04-21,128888
2022-04-22,123025
2022-04-23,121689
2022-04-24,122811
2022-04-25,120336
2022-04-26,127167
2022-04-27,121965
2022-04-28,124143
2022-04-29,122646
2022-04-30,123099
2022-05-01,119482
2022-05-02,121591
2022-05-03,123851
2022-05-04,124972
2022-05-05,128694
2022-05-06,120443
2022-05-07,119240
2022-05-08,114860
2022-05-09,108382
2022-05-10,110761
2022-05-11,105520
2022-05-12,90760
2022-05-13,98093
2022-05-14,92800
2022-05-15,98382
2022-05-16,97187
2022-05-17,101211
2022-05-18,98309
2022-05-19,95527
2022-05-20,98860
2022-05-21,96525
2022-05-22,100694
2022-05-23,102397
2022-05-24,99513
2022-05-25,98688
2022-05-26,92460
2022-05-27,92469
2022-05-28,91898
2022-05-29,92383
2022-05-30,96238
2022-05-31,101239
2022-06-01,101408
2022-06-02,94218
2022-06-03,90937
2022-06-04,90977
2022-06-05,91663
2022-06-06,98720
2022-06-07,89888
2022-06-08,92216
2022-06-09,92929
2022-06-10,90429
2022-06-11,80662
2022-06-12,75749
2022-06-13,63639
2022-06-14,60642
2022-06-15,57331
2022-06-16,58036
2022-06-17,56015
2022-06-18,51457
2022-06-19,52644
2022-06-20,58031
2022-06-21,58555
2022-06-22,55875
2022-06-23,57019
2022-06-24,62115
2022-06-25,61432
2022-06-26,65153
2022-06-27,62213
2022-06-28,62765
2022-06-29,56990
2022-06-30,52791
2022-07-01,53464
2022-07-02,53759
2022-07-03,53825
2022-07-04,56150
2022-07-05,56458
2022-07-06,57661
2022-07-07,60788
2022-07-08,62507
2022-07-09,61890
2022-07-10,60411
2022-07-11,58688
2022-07-12,54782
2022-07-13,54147
2022-07-14,55046
2022-07-15,61620
2022-07-16,61399
2022-07-17,69296
2022-07-18,74860
2022-07-19,78962
2022-07-20,82029
2022-07-21,76470
2022-07-22,83853
2022-07-23,78103
2022-07-24,82873
2022-07-25,78409
2022-07-26,72333
2022-07-27,74286
2022-07-28,83700
2022-07-29,84942
2022-07-30,87241
2022-07-31,87936
2022-08-01,85526
2022-08-02,81332
2022-08-03,85884
2022-08-04,82908
2022-08-05,88271
2022-08-06,87266
2022-08-07,86758
2022-08-08,92357
2022-08-09,87191
2022-08-10,87832
2022-08-11,98782
2022-08-12,95866
2022-08-13,101723
2022-08-14,101816
2022-08-15,96456
2022-08-16,97003
2022-08-17,94874
2022-08-18,94319
2022-08-19,86428
2022-08-20,83323
2022-08-21,82868
2022-08-22,79719
2022-08-23,81694
2022-08-24,83548
2022-08-25,86760
2022-08-26,81610
2022-08-27,77122
2022-08-28,75854
2022-08-29,73523
2022-08-30,80560
2022-08-31,80759
2022-09-01,79785
2022-09-02,80947
2022-09-03,78810
2022-09-04,79382
2022-09-05,79452
2022-09-06,84405
2022-09-07,70570
2022-09-08,80890
2022-09-09,85858
2022-09-10,87066
2022-09-11,89161
2022-09-12,88143
2022-09-13,87997
2022-09-14,80222
2022-09-15,86158
2022-09-16,106752
2022-09-17,89793
2022-09-18,87721
2022-09-19,92311
2022-09-20,87859
2022-09-21,94743
2022-09-22,91600
2022-09-23,86047
2022-09-24,89896
2022-09-25,83506
2022-09-26,89093
2022-09-27,102293
2022-09-28,96859
2022-09-29,96758
2022-09-30,99727
2022-10-01,96114
2022-10-02,89082
2022-10-03,91079
2022-10-04,92698
2022-10-05,95044
2022-10-06,104754
2022-10-07,92942
2022-10-08,103629
2022-10-09,84713
2022-10-10,87837
2022-10-11,91401
2022-10-12,85767
2022-10-13,87460
2022-10-14,111299
2022-10-15,86577
2022-10-16,86660
2022-10-17,90791
2022-10-18,106966
2022-10-19,97796
2022-10-20,112184
2022-10-21,97255
2022-10-22,100335
2022-10-23,89496
2022-10-24,94063
2022-10-25,93722
2022-10-26,128228
2022-10-27,124445
2022-10-28,113729
2022-10-29,122359
2022-10-30,120710
2022-10-31,114799
2022-11-01,121346
2022-11-02,117535
2022-11-03,127399
2022-11-04,140412
2022-11-05,125215
2022-11-06,107334
2022-11-07,112682
2022-11-08,125965
2022-11-09,0
2022-11-10,238687
2022-11-11,0
2022-11-12,250430
2022-11-13,181569
2022-11-14,183817
2022-11-15,184420
2022-11-16,170300
2022-11-17,95297
2022-11-18,92158
2022-11-19,83505
2022-11-20,90101
2022-11-21,86566
2022-11-22,86203
2022-11-23,108605
2022-11-24,84190
2022-11-25,84124
2022-11-26,136189
2022-11-27,79142
2022-11-28,86102
2022-11-29,85275
2022-11-30,87320
2022-12-01,89491
2022-12-02,96036
2022-12-03,84865
2022-12-04,83797
2022-12-05,84257
2022-12-06,83037
2022-12-07,84608
2022-12-08,91818
2022-12-09,89789
2022-12-10,83440
2022-12-11,78238
2022-12-12,86626
2022-12-13,90668
2022-12-14,95569
2022-12-15,89697
2022-12-16,89674
2022-12-17,93816
2022-12-18,79703
2022-12-19,76167
2022-12-20,86543
2022-12-21,81066
2022-12-22,86494
2022-12-23,97017
2022-12-24,78073
2022-12-25,73301
2022-12-26,80072
2022-12-27,79736
2022-12-28,80740
2022-12-29,77651
2022-12-30,76998
2022-12-31,79356
2023-01-01,75808
2023-01-02,79583
2023-01-03,82823
2023-01-04,90014
2023-01-05,102403
2023-01-06,82800
2023-01-07,84752
2023-01-08,80058
2023-01-09,103320
2023-01-10,93108
2023-01-11,88492
2023-01-12,110342
2023-01-13,115742
2023-01-14,137117
2023-01-15,109727
2023-01-16,116421
2023-01-17,118048
2023-01-18,114025
2023-01-19,125521
2023-01-20,104415
2023-01-21,131219
2023-01-22,112419
2023-01-23,113936
2023-01-24,125747
2023-01-25,128638
2023-01-26,124248
2023-01-27,137326
2023-01-28,112312
2023-01-29,110012
2023-01-30,112835
2023-01-31,116223
2023-02-01,114671
2023-02-02,131870
2023-02-03,125447
2023-02-04,128009
2023-02-05,118568
