account,activer_users,dt
Liquidation,2,2025-12-07 00:00:00+00:00
Deposit,1078,2025-10-01 00:00:00+00:00
Deposit,499,2025-04-18 00:00:00+00:00
Deposit,722,2025-12-24 00:00:00+00:00
Deposit,1149,2025-10-27 00:00:00+00:00
Deposit,750,2025-11-02 00:00:00+00:00
Deposit,708,2025-05-30 00:00:00+00:00
Deposit,1060,2025-11-26 00:00:00+00:00
Deposit,893,2025-12-31 00:00:00+00:00
Liquidation,11,2026-01-25 00:00:00+00:00
Liquidation,3,2025-05-12 00:00:00+00:00
Liquidation,1,2025-11-15 00:00:00+00:00
Deposit,1200,2025-03-03 00:00:00+00:00
Deposit,1150,2025-09-12 00:00:00+00:00
Deposit,727,2025-04-16 00:00:00+00:00
Liquidation,5,2025-10-14 00:00:00+00:00
Liquidation,3,2025-10-27 00:00:00+00:00
Liquidation,4,2025-07-15 00:00:00+00:00
Liquidation,6,2025-08-11 00:00:00+00:00
Liquidation,7,2025-04-16 00:00:00+00:00
Liquidation,1,2025-10-01 00:00:00+00:00
Liquidation,3,2026-02-07 00:00:00+00:00
Liquidation,2,2026-02-12 00:00:00+00:00
Liquidation,1,2025-05-24 00:00:00+00:00
Liquidation,6,2025-12-24 00:00:00+00:00
Liquidation,2,2025-04-18 00:00:00+00:00
Liquidation,7,2025-05-30 00:00:00+00:00
Liquidation,4,2025-12-31 00:00:00+00:00
Liquidation,6,2025-11-26 00:00:00+00:00
Liquidation,13,2025-03-03 00:00:00+00:00
Liquidation,1,2025-09-12 00:00:00+00:00
Flashloan,60,2025-04-16 00:00:00+00:00
Deposit,1328,2026-01-25 00:00:00+00:00
Deposit,798,2025-05-12 00:00:00+00:00
Deposit,991,2025-11-15 00:00:00+00:00
Flashloan,11,2025-12-24 00:00:00+00:00
Flashloan,30,2025-04-18 00:00:00+00:00
Flashloan,44,2025-11-02 00:00:00+00:00
Flashloan,53,2025-11-26 00:00:00+00:00
Flashloan,58,2025-05-30 00:00:00+00:00
Flashloan,6,2025-12-31 00:00:00+00:00
Flashloan,231,2025-02-25 00:00:00+00:00
Flashloan,55,2025-04-04 00:00:00+00:00
Flashloan,256,2025-02-28 00:00:00+00:00
Flashloan,11,2025-12-25 00:00:00+00:00
Flashloan,17,2026-01-29 00:00:00+00:00
Flashloan,46,2025-07-01 00:00:00+00:00
Flashloan,65,2025-04-01 00:00:00+00:00
Flashloan,69,2025-10-24 00:00:00+00:00
Flashloan,52,2025-07-09 00:00:00+00:00
Flashloan,118,2025-08-02 00:00:00+00:00
Deposit,676,2025-06-18 00:00:00+00:00
Deposit,1191,2025-10-06 00:00:00+00:00
Deposit,765,2025-03-30 00:00:00+00:00
Flashloan,207,2025-09-25 00:00:00+00:00
Flashloan,113,2025-08-13 00:00:00+00:00
Flashloan,10,2025-12-28 00:00:00+00:00
Flashloan,83,2025-08-24 00:00:00+00:00
Flashloan,30,2025-05-27 00:00:00+00:00
Flashloan,12,2026-01-26 00:00:00+00:00
Flashloan,174,2025-09-22 00:00:00+00:00
Flashloan,29,2025-07-06 00:00:00+00:00
Liquidation,3,2025-08-16 00:00:00+00:00
Deposit,1310,2025-08-11 00:00:00+00:00
Deposit,966,2025-07-15 00:00:00+00:00
Flashloan,88,2025-10-01 00:00:00+00:00
Flashloan,166,2025-10-30 00:00:00+00:00
Borrow,551,2026-01-25 00:00:00+00:00
Borrow,470,2025-11-15 00:00:00+00:00
Borrow,812,2025-05-12 00:00:00+00:00
Borrow,874,2025-10-14 00:00:00+00:00
Deposit,1073,2025-08-16 00:00:00+00:00
Deposit,672,2025-05-05 00:00:00+00:00
Deposit,1479,2026-02-07 00:00:00+00:00
Deposit,1162,2026-02-12 00:00:00+00:00
Deposit,806,2025-05-24 00:00:00+00:00
Borrow,945,2025-10-27 00:00:00+00:00
Borrow,833,2025-07-15 00:00:00+00:00
Borrow,1166,2025-08-11 00:00:00+00:00
Borrow,719,2025-08-16 00:00:00+00:00
Borrow,541,2025-05-05 00:00:00+00:00
Borrow,684,2026-02-07 00:00:00+00:00
Borrow,618,2025-05-24 00:00:00+00:00
Borrow,570,2026-02-12 00:00:00+00:00
Borrow,333,2025-04-18 00:00:00+00:00
Borrow,358,2025-12-24 00:00:00+00:00
Borrow,945,2025-10-01 00:00:00+00:00
Borrow,701,2025-03-03 00:00:00+00:00
Borrow,861,2025-09-12 00:00:00+00:00
Borrow,484,2025-11-02 00:00:00+00:00
Borrow,664,2025-11-26 00:00:00+00:00
Borrow,457,2025-12-31 00:00:00+00:00
Borrow,594,2025-05-30 00:00:00+00:00
Borrow,495,2025-04-16 00:00:00+00:00
Liquidation,8,2025-10-22 00:00:00+00:00
Liquidation,2,2025-09-03 00:00:00+00:00
Liquidation,7,2025-03-29 00:00:00+00:00
Liquidation,2,2025-04-25 00:00:00+00:00
Liquidation,4,2026-01-07 00:00:00+00:00
Liquidation,4,2025-12-11 00:00:00+00:00
Liquidation,4,2025-09-04 00:00:00+00:00
Liquidation,12,2025-11-17 00:00:00+00:00
Liquidation,18,2025-02-26 00:00:00+00:00
Deposit,869,2026-01-02 00:00:00+00:00
Deposit,1169,2025-07-20 00:00:00+00:00
Deposit,995,2025-07-24 00:00:00+00:00
Deposit,2526,2025-04-07 00:00:00+00:00
Deposit,859,2026-02-17 00:00:00+00:00
Deposit,881,2025-10-18 00:00:00+00:00
Deposit,744,2025-03-25 00:00:00+00:00
Deposit,1356,2026-01-21 00:00:00+00:00
