Date,Compound - Active loans ($)
2023-09-27,884986714.54413
2023-09-28,878859026.104539
2023-09-29,880919230.445847
2023-09-30,889757911.261472
2023-10-01,891885507.096203
2023-10-02,886245615.025858
2023-10-03,873084375.149964
2023-10-04,879296073.971325
2023-10-05,878194599.503785
2023-10-06,882191279.891162
2023-10-07,882185672.39036
2023-10-08,889668935.977336
2023-10-09,884225237.40857
2023-10-10,871430515.656588
2023-10-11,866567328.258942
2023-10-12,835486854.849856
2023-10-13,842542835.987568
2023-10-14,843532886.302194
2023-10-15,850807074.394584
2023-10-16,849947272.603215
2023-10-17,862931338.319481
2023-10-18,855039067.745486
2023-10-19,856871622.058341
2023-10-20,866369087.672706
2023-10-21,859781459.265699
2023-10-22,859029072.518614
2023-10-23,877429047.773618
2023-10-24,879990233.76654
2023-10-25,884861390.548192
2023-10-26,886866753.305897
2023-10-27,900724393.012558
2023-10-28,893252266.965431
2023-10-29,885096505.194595
2023-10-30,887062146.391571
2023-10-31,892149142.391362
2023-11-01,891056561.308102
2023-11-02,892723280.973708
2023-11-03,889354424.968956
2023-11-04,886056313.358922
2023-11-05,896310958.91924
2023-11-06,898516644.798022
2023-11-07,885303637.824334
2023-11-08,876431976.986012
2023-11-09,895744869.311056
2023-11-10,901319997.16446
2023-11-11,904609567.880228
2023-11-12,904899340.82709
2023-11-13,907731193.386128
2023-11-14,903295536.120494
2023-11-15,910563571.494661
2023-11-16,899067888.972924
2023-11-17,884966484.899385
2023-11-18,868100868.492224
2023-11-19,882643900.221258
2023-11-20,889674171.870763
2023-11-21,879314336.301753
2023-11-22,888760164.669272
2023-11-23,901953097.583254
2023-11-24,868923883.751456
2023-11-25,868320631.44841
2023-11-26,869638807.579767
2023-11-27,870206197.940635
2023-11-28,878458792.265186
2023-11-29,877378362.146669
2023-11-30,884563001.060342
2023-12-01,895623310.121269
2023-12-02,899284358.674583
2023-12-03,901547819.935893
2023-12-04,904243002.380454
2023-12-05,930174517.482249
2023-12-06,933128388.111982
2023-12-07,945177077.065448
2023-12-08,945722649.040426
2023-12-09,946173680.508245
2023-12-10,943266250.199772
2023-12-11,928067470.58977
2023-12-12,952271400.675715
2023-12-13,952952711.166448
2023-12-14,964445239.196996
2023-12-15,961687819.760557
2023-12-16,964358318.724358
2023-12-17,966452188.13585
2023-12-18,966699166.842124
2023-12-19,956540732.532129
2023-12-20,961387675.253061
2023-12-21,960322118.525924
2023-12-22,968334100.49412
2023-12-23,958596503.009059
2023-12-24,958562118.471661
