Date,Lido Finance - Assets staked ($)
2023-12-24,20724184498.619205
2023-12-25,20801412396.589993
2023-12-26,20373724703.712692
2023-12-27,21858542604.420322
2023-12-28,21613809113.511673
2023-12-29,21122296571.16789
2023-12-30,21243333179.652637
2023-12-31,21118717424.681404
2024-01-01,21795338531.256126
2024-01-02,21856030347.955685
2024-01-03,20532041574.933357
2024-01-04,21133963186.713768
2024-01-05,21089516790.48571
2024-01-06,20836359238.263477
2024-01-07,20652943376.98952
2024-01-08,21715550074.847477
2024-01-09,21745763936.876995
2024-01-10,24147677520.254944
2024-01-11,24499350162.73147
2024-01-12,23611330938.275566
2024-01-13,24153537477.22397
2024-01-14,23175802964.876038
2024-01-15,23528536870.47835
2024-01-16,24270736572.25545
2024-01-17,23583395945.305584
2024-01-18,23078281109.04652
2024-01-19,23302299206.481728
2024-01-20,23124034225.54598
2024-01-21,23032612002.98712
2024-01-22,21666860525.909515
2024-01-23,20959934199.30347
2024-01-24,20973545899.60724
2024-01-25,20822196214.926113
2024-01-26,21330264106.10493
2024-01-27,21353889296.311104
2024-01-28,21272251047.697163
2024-01-29,21828143683.106586
2024-01-30,22139855110.956642
2024-01-31,21572246314.427177
2024-02-01,21778451869.0506
2024-02-02,21952298928.022263
2024-02-03,21861429839.11498
2024-02-04,21789667739.907906
2024-02-05,21865004827.493263
2024-02-06,22648288014.94294
2024-02-07,23160598488.47211
2024-02-08,23250356718.70329
2024-02-09,24036343371.82879
2024-02-10,24149959943.416096
2024-02-11,24269263564.09961
2024-02-12,25632431711.32068
2024-02-13,25627510375.771576
2024-02-14,26988769763.319553
2024-02-15,27608315321.726482
2024-02-16,27472489708.622425
2024-02-17,27341470909.033253
2024-02-18,28210919941.826485
2024-02-19,28963830953.679115
2024-02-20,29598407998.29087
2024-02-21,29209975725.283585
2024-02-22,29321945055.359352
2024-02-23,28795195381.820255
2024-02-24,29421078561.801353
2024-02-25,30594225913.48541
2024-02-26,31322154550.508144
2024-02-27,31961415523.597706
2024-02-28,33251006895.00367
2024-02-29,32924579962.90408
2024-03-01,33978837908.12125
2024-03-02,33788963311.25905
2024-03-03,34380407813.956215
2024-03-04,35991827724.52616
2024-03-05,35264571162.95197
2024-03-06,37718564936.51232
2024-03-07,38220234385.2476
2024-03-08,38468415159.63604
2024-03-09,38659838965.20616
2024-03-10,38360473413.94486
2024-03-11,40159812128.47553
2024-03-12,39271602742.01461
2024-03-13,39603504995.52386
2024-03-14,38379156373.952255
2024-03-15,36958219265.7086
2024-03-16,34517177636.82496
2024-03-17,35776132141.08957
2024-03-18,34577254350.17227
2024-03-19,31112961221.965214
2024-03-20,34465866380.19449
2024-03-21,34274020715.57405
2024-03-22,32593377676.15412
2024-03-23,32767629809.973602
2024-03-24,33811357198.855515
2024-03-25,35006115762.19808
2024-03-26,34877004700.32082
2024-03-27,34068990470.64593
2024-03-28,34701692869.139534
2024-03-29,34185690844.123352
2024-03-30,34109603646.055634
2024-03-31,35458391638.97523
2024-04-01,33965082458.502384
2024-04-02,31469091348.46992
2024-04-03,31739821046.542446
2024-04-04,31860028322.950825
2024-04-05,31824008860.842888
2024-04-06,32166690282.10316
2024-04-07,32945366883.035664
2024-04-08,35310926200.94089
2024-04-09,33428682143.434875
2024-04-10,33612709153.759724
2024-04-11,33107404914.23137
2024-04-12,30559060966.60313
2024-04-13,28462644454.07667
2024-04-14,29808153288.736153
2024-04-15,29203358629.2045
2024-04-16,29038802205.437958
2024-04-17,28112568258.373158
2024-04-18,28769256421.52414
2024-04-19,28642777857.82977
2024-04-20,29488200145.190914
2024-04-21,29451223562.238583
2024-04-22,29947775183.142605
2024-04-23,30097519068.098934
2024-04-24,29311844522.290546
2024-04-25,29606044452.440273
2024-04-26,29339439269.39889
2024-04-27,30482572362.344925
2024-04-28,30585718106.134266
2024-04-29,30121558076.56929
2024-04-30,28194228579.404064
2024-05-01,27851085806.25982
2024-05-02,28026392812.939697
2024-05-03,29082533102.85118
2024-05-04,29275159668.779835
2024-05-05,29449980693.490845
2024-05-06,28777916872.541546
2024-05-07,28206484368.190228
2024-05-08,27863851982.741386
2024-05-09,28512502533.51866
2024-05-10,27334985688.491817
2024-05-11,27382352444.685757
2024-05-12,27509856540.023945
2024-05-13,27697587567.107544
2024-05-14,27063419465.43212
2024-05-15,28443010691.291225
2024-05-16,27616295019.14399
2024-05-17,29012307450.296898
2024-05-18,29290054968.264908
2024-05-19,28696260918.27998
2024-05-20,34091578941.235016
2024-05-21,35316287647.45851
2024-05-22,34929727258.71132
2024-05-23,35200483125.36475
2024-05-24,34735085632.05277
2024-05-25,34907809422.06665
2024-05-26,35651804002.033264
2024-05-27,36206134037.57229
2024-05-28,35811690412.221306
2024-05-29,35811968496.23408
2024-05-30,35626948980.69403
2024-05-31,35785781360.3296
2024-06-01,36282524049.15591
2024-06-02,35967717266.30052
2024-06-03,35815391027.5269
